ch_Species Arho Brho n Acp Bcp Ccp Dcp
2,2,5,6-tetramethylheptane 0.2487 0.269 0.2857 207.09 0.7798 -0.0021114 2.8995e-06 
2,3,4,4-tetramethylheptane 0.2487 0.2596 0.2857 208.347 0.7699 -0.0020557 2.8032e-06 
2,2,5,5-tetramethylheptane 0.2483 0.2683 0.2857 192.902 0.8546 -0.0022778 3.0081e-06 
2,4,5,5-tetramethylheptane 0.2487 0.262 0.2857 208.216 0.771 -0.0020645 2.8197e-06 
2,2,4,6-tetramethylheptane 0.2487 0.2714 0.2857 204.079 0.8031 -0.0022036 3.0401e-06 
2,3,3,6-tetramethylheptane 0.2487 0.2644 0.2857 208.657 0.7677 -0.0020574 2.8129e-06 
3,3,4,4-tetramethylheptane 0.2483 0.2547 0.2857 198.033 0.8135 -0.0021039 2.7436e-06 
2,2,3,3-tetramethylheptane 0.2483 0.2604 0.2857 198.176 0.813 -0.0021135 2.7651e-06 
3,4,4,5-tetramethylheptane 0.2487 0.2551 0.2857 210.337 0.7551 -0.0019922 2.7027e-06 
2,2,3,6-tetramethylheptane 0.2487 0.2662 0.2857 206.534 0.7839 -0.002121 2.9096e-06 
3,3,5,5-tetramethylheptane 0.2483 0.2601 0.2857 198.047 0.8139 -0.0021162 2.7685e-06 
3,3,4,5-tetramethylheptane 0.2487 0.2573 0.2857 209.04 0.7647 -0.0020318 2.7643e-06 
2,4,4,5-tetramethylheptane 0.2487 0.2617 0.2857 206.964 0.7804 -0.0020988 2.87e-06 
2,2,3,5-tetramethylheptane 0.2487 0.2644 0.2857 208.06 0.7722 -0.0020739 2.8372e-06 
2,3,4,5-tetramethylheptane 0.2491 0.2599 0.2857 220.561 0.7119 -0.0019451 2.7645e-06 
2,4,4,6-tetramethylheptane 0.2487 0.2683 0.2857 203.852 0.8046 -0.0022026 3.0339e-06 
2,3,5,6-tetramethylheptane 0.2491 0.2647 0.2857 220.322 0.7133 -0.0019603 2.7956e-06 
2,3,5,5-tetramethylheptane 0.2487 0.2641 0.2857 206.798 0.7818 -0.0021087 2.8882e-06 
2,2,4,4-tetramethylheptane 0.2483 0.2639 0.2857 193.476 0.8495 -0.0022501 2.9626e-06 
2,3,4,6-tetramethylheptane 0.2491 0.2646 0.2857 219.784 0.7173 -0.0019756 2.8193e-06 
